building,bus,car,fence,motorcycle,person,pole,rider,road,sidewalk,sky,terrain,traffic light,traffic sign,train,truck,vegetation,wall,y
48184,1,104,106,2478,1273,1828,2506,11428,3759,2105,277,17,0,0,130,4806,0,1
59,0,229,5,3,80,5111,0,33030,3445,17919,68,1659,462,0,0,16932,0,1
9137,1,2510,0,0,3,1113,0,23743,175,350,8773,14,6,0,83,33094,0,1
32191,0,11426,1,53,21,208,0,20135,1222,639,166,96,136,0,408,12300,0,1
23512,3604,716,133,6149,1784,1140,1,2459,18255,0,54,27,0,122,2596,18636,327,1
1638,291,1986,2512,22,126,2906,51,24575,8926,3349,0,583,336,0,915,30786,0,1
7640,0,6197,3614,0,1,141,0,13392,400,2266,0,0,147,0,0,45204,0,1
19964,0,3355,0,0,8,837,0,30512,1671,5620,10,43,1,0,45,16936,0,1
20674,0,18611,0,0,0,808,0,12740,0,2005,3359,0,583,0,3,20219,0,1
9516,0,4502,13390,3,0,140,0,19254,530,37,0,3,576,0,110,29677,1264,1
8925,0,2794,80,7,258,2752,0,27883,3203,6662,3295,307,355,0,260,22215,6,1
965,1026,540,1,0,174,111,0,26476,3346,6953,0,5,5,16872,1063,18579,2886,1
4300,0,1226,1875,1,1,573,0,22647,3613,5081,10072,0,11,0,0,29503,99,1
1141,77,3914,122,179,465,3739,0,25426,3504,15663,6516,824,1180,0,246,16006,0,1
7543,90,16443,0,82,177,1503,0,16074,2815,3768,3585,0,0,0,175,26747,0,1
18106,0,387,3072,0,448,51,0,12551,7415,5779,0,0,388,6,245,7996,22558,1
13121,0,12429,28,0,0,1504,0,15662,4508,5071,3192,23,1691,0,150,21340,283,1
4331,0,803,95,6,672,522,0,16705,2485,5322,15433,0,0,0,0,32628,0,1
146,0,148,100,8,340,3309,0,31958,4396,18336,0,809,827,0,5,18620,0,1
12868,0,8707,0,0,0,670,0,27967,646,7139,0,0,57,0,9136,11812,0,1
2513,67,570,1455,53,115,1172,0,15699,1957,3341,0,2,1,581,22091,17109,12276,1
22271,2836,245,58,5561,3094,1047,0,5589,14078,0,5,36,1,332,443,23918,1,1
69,0,205,1,1,92,4934,0,32742,3735,17891,67,1720,489,0,37,17019,0,1
12996,0,11815,14,0,0,1833,0,16007,4299,5068,3190,27,1821,0,120,21491,321,1
16878,0,515,0,1171,149,1124,46,27443,3633,2441,1719,494,4,144,1,23240,0,1
30078,0,11916,124,252,479,1432,0,20374,40,1004,952,212,174,0,22,11943,0,1
2506,0,2482,0,267,240,1443,159,28289,3899,1290,50,278,204,0,1,38407,0,1
391,0,10673,60,0,0,382,0,27841,26,1210,0,0,29,0,75,38315,0,1
10715,5,17211,0,0,0,333,0,12450,5737,5109,4127,11,47,0,6,23251,0,1
17904,0,1316,0,8,149,738,0,26017,2191,2742,5369,193,448,0,231,21696,0,1
3220,14,6863,0,0,23,2071,0,17849,3767,4361,11430,141,457,0,990,27816,0,1
88,0,8409,40,0,0,5796,0,15883,1217,8736,8284,80,78,0,25,30366,0,1
25020,0,9440,37,17,142,173,0,16619,7047,2234,30,0,0,0,0,18234,9,1
29392,38,604,71,4424,1347,975,0,1579,20994,0,60,0,0,0,873,19128,30,1
7283,1451,4488,8397,3992,5155,4,0,10763,8880,1311,0,0,4,0,5330,20043,2414,1
6921,0,11,0,2586,3753,1729,118,18969,9453,1645,2867,98,84,0,33,31248,0,1
313,0,1485,3345,0,6,1495,0,13829,2930,13029,13958,18,258,0,0,28303,33,1
7418,0,2909,0,277,72,50,257,18450,259,3789,13510,0,11,0,16,31984,0,1
6285,0,1393,1777,0,0,521,0,18493,3029,17,11988,0,0,0,2,35497,0,1
926,1324,635,1,0,335,273,0,27442,3637,6773,33,74,44,16666,87,19029,1723,1
3279,0,3025,2224,0,0,52,0,17719,3983,1043,5892,0,0,0,0,39906,1879,1
27231,2358,788,29,5657,983,940,6,2071,17821,0,1,0,0,0,573,21057,0,1
15652,8,15628,124,14,588,1500,0,20243,2575,4956,1157,132,1046,0,12,15367,0,1
17580,0,18056,1561,0,0,36,0,13679,1537,4561,1429,0,4,0,3041,17518,0,1
2329,0,1489,330,0,3,1465,0,21446,4356,7987,9222,4,78,0,0,30293,0,1
11760,0,1898,1306,1346,6938,958,641,17576,8745,3717,1870,9,240,0,0,22507,4,1
879,0,6400,0,0,315,477,0,22822,28,2800,6964,28,23,0,6,38260,0,1
10443,0,2017,0,0,16,3,0,20400,2765,5633,11298,19,11,0,0,26397,0,1
3333,0,11594,0,0,94,2091,0,26035,511,20693,1462,1332,942,0,3,10912,0,1
5460,0,7408,0,0,0,882,0,19063,0,1149,9783,0,0,0,1,35256,0,1
4086,0,15037,2563,0,17,888,0,15925,4926,2709,12,2,3,0,1,32467,366,1
7480,0,5132,176,0,5,462,0,20786,2710,7085,9377,0,15,0,739,25035,0,1
25786,0,13116,0,8,37,1154,0,15770,6175,1741,0,32,62,0,0,15121,0,1
72,0,5103,917,0,0,2849,0,19267,50,8628,9390,0,94,0,79,32553,0,1
18397,3786,3548,12,4728,2067,1227,0,5491,15886,0,14,0,0,0,6616,17737,6,1
0,0,5725,0,0,1036,1655,0,19945,5743,0,1895,37,0,0,0,43479,0,1
23504,0,3426,3861,0,104,967,0,21670,5777,5305,982,29,48,0,327,12273,729,1
10247,0,726,126,199,66,294,310,14834,0,28,14899,0,2074,0,19,35180,0,1
16867,0,529,0,487,139,1348,48,27370,4255,2455,1889,478,4,108,2,23023,0,1
11732,0,1673,0,0,14,1088,0,17480,1967,261,15466,0,11,0,0,29310,0,1
5916,0,368,24,0,2,1087,0,20687,157,1671,13809,42,314,0,5,34920,0,1
1017,7,3709,2,0,127,1020,0,18316,5737,17421,12387,5,23,0,280,18951,0,1
95,0,468,45,10,0,2705,0,21018,3044,8679,9488,0,8,0,0,33442,0,1
13847,0,1889,243,0,302,916,0,30166,4303,9654,304,0,0,0,2,15514,1862,1
770,3410,560,0,0,245,76,0,26700,3383,7020,0,209,0,15213,2,18433,2981,1
464,20,4960,0,0,48,1107,0,24343,1230,11885,9471,195,1249,0,10,24020,0,1
17744,0,17811,433,0,12,1097,0,13265,715,3682,26,0,7,0,413,23021,776,1
1198,8,18732,5,48,89,1492,0,12664,5794,10621,1885,6,18,0,5954,20488,0,1
20,0,11522,1974,10,100,1513,0,10684,1712,22787,16912,1,579,0,0,11166,22,1
6961,277,12409,0,0,1,499,8,20699,356,5364,4851,0,880,0,7747,18950,0,1
43238,291,4632,6,145,99,1037,0,20556,4085,2235,0,3,817,896,962,0,0,1
624,0,12867,3280,219,0,616,0,23260,2302,6003,1495,6,0,0,613,26979,738,1
13105,0,5680,0,31,54,1119,828,14111,1331,4,1788,0,4,0,0,40947,0,1
3001,0,746,6952,49,1121,567,0,12568,5597,1127,1131,0,27,7,27,46073,9,1
1129,0,6012,0,0,57,923,0,18916,2006,2725,9137,67,1,0,0,38029,0,1
5716,0,12799,833,27,1179,403,7,21406,324,1934,168,0,265,0,4,33468,469,1
10158,0,4136,8,0,12,204,0,22493,1256,5870,9424,37,45,0,0,25359,0,1
19959,0,1012,0,2535,1692,451,12,24547,8467,2779,0,2,147,0,21,17378,0,1
