index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/08 13:54:18.091, 29.00 W, 0 %, 1189 MHz, 34, 0 MiB
0, 2018/08/08 13:54:19.096, 30.69 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:20.100, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:21.104, 30.69 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:22.109, 30.69 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:23.113, 30.69 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:24.117, 30.69 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 13:54:25.120, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:26.124, 30.95 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:27.129, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 13:54:28.132, 30.95 W, 0 %, 1189 MHz, 35, 485 MiB
0, 2018/08/08 13:54:29.136, 30.95 W, 8 %, 1189 MHz, 34, 3021 MiB
0, 2018/08/08 13:54:30.140, 105.43 W, 81 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:31.143, 36.04 W, 37 %, 1328 MHz, 36, 9209 MiB
0, 2018/08/08 13:54:32.147, 43.33 W, 62 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:33.151, 137.62 W, 7 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:34.154, 167.19 W, 38 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:35.158, 35.80 W, 23 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:36.162, 36.05 W, 23 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:37.165, 36.53 W, 62 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:38.169, 49.40 W, 62 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:39.173, 59.34 W, 61 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:40.177, 101.35 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:41.183, 65.10 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:42.187, 36.04 W, 3 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 13:54:43.190, 36.28 W, 59 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:44.194, 151.93 W, 39 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:45.198, 36.28 W, 45 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:46.201, 36.06 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:47.205, 36.28 W, 61 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:48.209, 37.50 W, 61 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:49.212, 46.97 W, 55 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:50.218, 76.23 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:51.222, 36.04 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:52.226, 36.78 W, 44 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 13:54:53.232, 37.01 W, 62 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:54.236, 80.65 W, 39 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 13:54:55.240, 36.31 W, 9 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:56.244, 36.77 W, 62 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:57.248, 151.30 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:58.251, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:54:59.255, 37.99 W, 63 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 13:55:00.259, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 13:55:01.263, 73.13 W, 36 %, 1328 MHz, 40, 9209 MiB
