index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
1, 2018/08/08 16:57:00.284, 36.78 W, 1 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:01.288, 132.41 W, 2 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:02.292, 36.56 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:03.296, 36.78 W, 0 %, 1328 MHz, 38, 5625 MiB
1, 2018/08/08 16:57:04.299, 55.98 W, 36 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:05.303, 37.04 W, 39 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:06.310, 36.80 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:07.314, 36.80 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:08.318, 37.04 W, 39 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:09.321, 36.80 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:10.325, 36.80 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:11.329, 37.04 W, 8 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:12.332, 36.55 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:13.336, 37.04 W, 19 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:14.339, 141.60 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:15.346, 37.04 W, 40 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:16.350, 37.04 W, 21 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:17.353, 36.80 W, 0 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:18.357, 97.65 W, 13 %, 1328 MHz, 40, 5625 MiB
1, 2018/08/08 16:57:19.361, 149.75 W, 1 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:20.364, 37.02 W, 40 %, 1328 MHz, 39, 5625 MiB
1, 2018/08/08 16:57:21.368, 37.04 W, 0 %, 1328 MHz, 39, 5625 MiB
