index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/08 10:38:50.644, 29.00 W, 0 %, 1189 MHz, 34, 0 MiB
0, 2018/08/08 10:38:51.649, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 10:38:52.652, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 10:38:53.656, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 10:38:54.663, 30.70 W, 0 %, 1189 MHz, 34, 359 MiB
0, 2018/08/08 10:38:55.667, 30.93 W, 0 %, 1189 MHz, 34, 485 MiB
0, 2018/08/08 10:38:56.670, 30.95 W, 9 %, 1189 MHz, 34, 915 MiB
0, 2018/08/08 10:38:57.674, 150.26 W, 99 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:38:58.677, 35.55 W, 28 %, 1328 MHz, 35, 5625 MiB
0, 2018/08/08 10:38:59.682, 100.83 W, 38 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:00.686, 36.28 W, 0 %, 1328 MHz, 35, 5625 MiB
0, 2018/08/08 10:39:01.690, 36.53 W, 31 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:02.693, 45.26 W, 41 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:03.700, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:04.704, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:05.708, 36.53 W, 21 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:06.711, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:07.715, 36.53 W, 33 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:08.720, 57.89 W, 38 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:09.724, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:10.728, 36.77 W, 39 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:11.732, 36.28 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:12.736, 151.89 W, 17 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:13.740, 36.53 W, 27 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:14.744, 36.53 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:15.747, 87.59 W, 23 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:16.754, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:17.758, 133.24 W, 0 %, 1328 MHz, 36, 5625 MiB
0, 2018/08/08 10:39:18.763, 36.78 W, 27 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:19.766, 138.34 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:20.772, 36.77 W, 28 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:21.776, 132.96 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:22.780, 36.77 W, 36 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:23.783, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:24.787, 36.53 W, 22 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:25.791, 140.28 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:26.795, 36.53 W, 10 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:27.799, 39.69 W, 34 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:28.803, 36.77 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:29.809, 36.77 W, 40 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:30.813, 36.77 W, 2 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:31.816, 52.05 W, 16 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:32.820, 36.53 W, 0 %, 1328 MHz, 37, 5625 MiB
0, 2018/08/08 10:39:33.827, 38.23 W, 31 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:34.831, 36.77 W, 38 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:35.834, 91.91 W, 0 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:36.838, 36.78 W, 41 %, 1328 MHz, 38, 5625 MiB
0, 2018/08/08 10:39:37.845, 36.77 W, 0 %, 1328 MHz, 38, 5625 MiB
