index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/08 11:42:21.064, 29.00 W, 0 %, 1189 MHz, 35, 0 MiB
0, 2018/08/08 11:42:22.069, 30.95 W, 1 %, 1189 MHz, 35, 297 MiB
0, 2018/08/08 11:42:23.072, 30.95 W, 1 %, 1189 MHz, 35, 313 MiB
0, 2018/08/08 11:42:24.076, 30.95 W, 1 %, 1189 MHz, 35, 319 MiB
0, 2018/08/08 11:42:25.080, 30.95 W, 0 %, 1189 MHz, 35, 327 MiB
0, 2018/08/08 11:42:26.085, 30.95 W, 5 %, 1189 MHz, 35, 355 MiB
0, 2018/08/08 11:42:27.089, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:28.093, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:29.097, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:30.100, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:31.104, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:32.108, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:33.112, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:34.116, 30.95 W, 0 %, 1189 MHz, 35, 359 MiB
0, 2018/08/08 11:42:35.119, 30.95 W, 1 %, 1189 MHz, 35, 489 MiB
0, 2018/08/08 11:42:36.124, 98.21 W, 15 %, 1189 MHz, 35, 3065 MiB
0, 2018/08/08 11:42:37.127, 153.16 W, 22 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:38.131, 36.04 W, 22 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:39.134, 169.61 W, 33 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:40.138, 36.28 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:41.142, 36.77 W, 61 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:42.146, 65.39 W, 61 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:43.149, 36.31 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:44.153, 36.53 W, 45 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:45.157, 36.29 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:46.160, 36.04 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:47.164, 154.61 W, 13 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:48.167, 81.59 W, 0 %, 1328 MHz, 37, 9209 MiB
0, 2018/08/08 11:42:49.171, 99.89 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:50.178, 36.78 W, 14 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:51.181, 62.50 W, 55 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:42:52.185, 44.54 W, 61 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:42:53.189, 36.31 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:54.196, 36.53 W, 28 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:42:55.199, 36.78 W, 43 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:42:56.203, 37.26 W, 61 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:42:57.207, 172.98 W, 25 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:42:58.210, 36.77 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:42:59.214, 37.02 W, 63 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:00.218, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:01.221, 36.28 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:02.225, 36.55 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:03.776, 36.78 W, 34 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:04.780, 37.26 W, 53 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:05.784, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:06.789, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:09.799, 36.53 W, 61 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:10.802, 165.13 W, 0 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:11.808, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:12.812, 36.77 W, 51 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:14.756, 36.53 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:15.760, 36.53 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:16.765, 36.28 W, 0 %, 1328 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:17.769, 31.43 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:18.772, 31.43 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:19.775, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:20.779, 31.43 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:21.783, 31.43 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:22.786, 31.43 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:23.790, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:24.796, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:25.802, 31.44 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:26.805, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:27.809, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:28.813, 31.19 W, 0 %, 1189 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:29.816, 32.39 W, 0 %, 1227 MHz, 38, 9209 MiB
0, 2018/08/08 11:43:30.821, 35.55 W, 65 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:31.825, 93.42 W, 23 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:32.829, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:33.832, 36.53 W, 32 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:34.836, 37.26 W, 56 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:35.840, 36.04 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:36.843, 49.65 W, 30 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:37.847, 36.53 W, 62 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:38.851, 156.30 W, 6 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:43:39.858, 72.64 W, 18 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:43:40.862, 36.53 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:41.865, 36.28 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:42.869, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:43.872, 36.05 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:44.876, 74.61 W, 13 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:45.880, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:46.883, 36.53 W, 63 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:47.887, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:48.893, 36.29 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:49.896, 37.26 W, 41 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:50.900, 36.28 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:51.904, 36.28 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:52.907, 36.05 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:53.911, 36.05 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:54.915, 36.28 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:55.918, 158.87 W, 0 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:56.922, 36.05 W, 0 %, 1328 MHz, 39, 9209 MiB
0, 2018/08/08 11:43:57.929, 36.53 W, 35 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:58.932, 36.77 W, 62 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:43:59.936, 37.26 W, 36 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:00.940, 36.77 W, 53 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:44:01.944, 44.81 W, 9 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:44:02.947, 50.38 W, 4 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:03.951, 36.80 W, 27 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:44:04.955, 36.53 W, 44 %, 1328 MHz, 40, 9209 MiB
0, 2018/08/08 11:44:05.959, 36.78 W, 47 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:06.965, 38.48 W, 18 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:07.969, 39.21 W, 14 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:08.973, 153.65 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:09.977, 36.77 W, 63 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:10.980, 36.77 W, 55 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:11.984, 38.23 W, 15 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:12.988, 36.53 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:13.991, 36.78 W, 37 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:14.995, 37.26 W, 25 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:16.002, 37.26 W, 20 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:17.005, 36.77 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:18.009, 37.26 W, 23 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:19.013, 36.77 W, 62 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:20.019, 36.80 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:21.023, 36.53 W, 0 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:22.026, 37.01 W, 27 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:23.030, 36.77 W, 53 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:24.034, 43.08 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:25.037, 36.80 W, 25 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:26.041, 163.68 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:27.045, 36.77 W, 62 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:28.048, 36.77 W, 12 %, 1328 MHz, 41, 9209 MiB
0, 2018/08/08 11:44:29.052, 84.25 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:30.056, 37.02 W, 42 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:31.059, 84.98 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:32.063, 153.89 W, 22 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:33.067, 76.28 W, 54 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:34.074, 84.25 W, 62 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:35.078, 37.01 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:36.081, 157.90 W, 33 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:37.085, 37.01 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:38.092, 37.75 W, 61 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:39.096, 62.00 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:40.100, 37.01 W, 0 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:41.103, 38.23 W, 63 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:42.110, 37.26 W, 56 %, 1328 MHz, 42, 9209 MiB
0, 2018/08/08 11:44:43.114, 171.56 W, 35 %, 1328 MHz, 44, 9209 MiB
0, 2018/08/08 11:44:44.118, 128.27 W, 0 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:45.121, 37.26 W, 54 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:46.128, 37.26 W, 63 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:47.132, 37.26 W, 44 %, 1328 MHz, 43, 9209 MiB
0, 2018/08/08 11:44:48.135, 154.83 W, 10 %, 1328 MHz, 43, 9209 MiB
