index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
1, 2018/08/08 17:37:53.487, 27.29 W, 0 %, 405 MHz, 36, 0 MiB
1, 2018/08/08 17:37:54.512, 31.19 W, 0 %, 1189 MHz, 36, 59 MiB
1, 2018/08/08 17:37:55.516, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:37:56.519, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:37:57.523, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:37:58.527, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:37:59.530, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:00.537, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:01.541, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:02.544, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:03.548, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:04.552, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:05.555, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:06.559, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:07.563, 31.19 W, 0 %, 1189 MHz, 36, 359 MiB
1, 2018/08/08 17:38:08.566, 31.43 W, 0 %, 1189 MHz, 36, 485 MiB
1, 2018/08/08 17:38:09.572, 31.21 W, 7 %, 1189 MHz, 36, 3017 MiB
1, 2018/08/08 17:38:10.576, 55.73 W, 70 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:11.580, 36.80 W, 57 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:12.583, 37.04 W, 54 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:13.587, 36.56 W, 0 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:14.591, 36.80 W, 53 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:15.594, 37.04 W, 62 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:16.598, 167.04 W, 0 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:17.602, 38.26 W, 20 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:18.609, 36.80 W, 0 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:19.612, 36.56 W, 0 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:20.616, 36.31 W, 0 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:21.620, 31.43 W, 0 %, 1189 MHz, 37, 9209 MiB
1, 2018/08/08 17:38:22.623, 36.06 W, 45 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:23.627, 52.33 W, 24 %, 1328 MHz, 38, 9209 MiB
1, 2018/08/08 17:38:24.631, 37.02 W, 62 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:25.634, 44.57 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:26.638, 37.04 W, 63 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:27.644, 37.29 W, 58 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:28.648, 37.02 W, 26 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:29.651, 165.83 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:30.655, 37.04 W, 41 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:31.662, 43.10 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:32.665, 37.02 W, 63 %, 1328 MHz, 39, 9209 MiB
1, 2018/08/08 17:38:33.669, 133.77 W, 0 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:34.673, 57.20 W, 0 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:35.677, 162.22 W, 2 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:36.680, 152.40 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:37.684, 37.29 W, 55 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:38.688, 37.53 W, 15 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:39.692, 37.28 W, 63 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:40.698, 37.02 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:41.702, 39.94 W, 64 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:42.705, 37.26 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:43.709, 37.04 W, 0 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:44.713, 37.28 W, 22 %, 1328 MHz, 40, 9209 MiB
1, 2018/08/08 17:38:45.716, 81.15 W, 62 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:46.720, 37.75 W, 54 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:47.724, 156.03 W, 27 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:48.728, 124.32 W, 5 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:49.734, 37.53 W, 0 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:50.738, 37.53 W, 11 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:51.741, 37.75 W, 63 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:52.745, 169.49 W, 32 %, 1328 MHz, 42, 9209 MiB
1, 2018/08/08 17:38:53.751, 37.51 W, 0 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:54.754, 158.45 W, 43 %, 1328 MHz, 42, 9209 MiB
1, 2018/08/08 17:38:55.758, 37.53 W, 0 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:56.762, 37.51 W, 29 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:57.765, 37.50 W, 45 %, 1328 MHz, 41, 9209 MiB
1, 2018/08/08 17:38:58.771, 164.14 W, 24 %, 1328 MHz, 42, 9209 MiB
1, 2018/08/08 17:38:59.775, 93.18 W, 0 %, 1328 MHz, 42, 9209 MiB
