index, timestamp, power.draw [W], utilization.gpu [%], clocks.current.sm [MHz], temperature.gpu, memory.used [MiB]
0, 2018/08/07 17:21:47.735, 46.72 W, 6 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:48.739, 62.02 W, 0 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:49.743, 37.26 W, 0 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/07 17:21:50.747, 156.47 W, 0 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:51.750, 53.97 W, 4 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/07 17:21:52.754, 37.26 W, 43 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/07 17:21:53.758, 38.23 W, 21 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:54.764, 66.11 W, 0 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/07 17:21:55.768, 37.50 W, 42 %, 1328 MHz, 40, 5625 MiB
0, 2018/08/07 17:21:56.772, 37.26 W, 43 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:57.775, 37.99 W, 19 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:21:58.783, 71.18 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:21:59.786, 37.26 W, 6 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:00.790, 37.99 W, 17 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:01.794, 161.67 W, 0 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:02.801, 37.50 W, 19 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:03.804, 44.06 W, 0 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:04.808, 37.26 W, 42 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:05.812, 39.94 W, 3 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:06.819, 37.50 W, 11 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:07.823, 37.50 W, 40 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:08.827, 80.35 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:09.831, 37.26 W, 44 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:10.834, 37.50 W, 40 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:11.838, 37.24 W, 9 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:12.842, 37.75 W, 11 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:13.846, 43.35 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:14.850, 116.49 W, 11 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:15.856, 37.26 W, 43 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:16.859, 37.75 W, 6 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:17.863, 37.50 W, 3 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:18.867, 40.42 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:19.874, 37.50 W, 17 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:20.877, 40.91 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:21.881, 37.75 W, 12 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:22.885, 37.75 W, 40 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:23.888, 37.50 W, 10 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:24.892, 37.50 W, 28 %, 1328 MHz, 41, 5625 MiB
0, 2018/08/07 17:22:25.895, 52.32 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:26.899, 41.13 W, 0 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:27.903, 160.87 W, 4 %, 1328 MHz, 42, 5625 MiB
0, 2018/08/07 17:22:28.910, 37.75 W, 0 %, 1328 MHz, 42, 5625 MiB
